,ID,Date,Day,Month,Year,User Name,Location,Text,Language,Retweet counts,Favorites counts,Hashtags
2440,1445427490533609472,2021-10-05 16:35:43+00:00,5,10,2021,World Nuclear News,,"@KairosPower has submitted the preliminary safety analysis report for its fluoride salt-cooled, high-temperature reactor to the US #Nuclear Regulatory Commission https://t.co/BZiMLBMp5E https://t.co/GdvYHjgeHy",en,8.0,8.0,"[{'text': 'Nuclear', 'indices': [131, 139]}]"
2441,1445242341598584832,2021-10-05 04:20:00+00:00,5,10,2021,World Nuclear News,,"The UK government is in discussions regarding proposals for a new #nuclear power plant at Wylfa on Anglesey, British Prime Minister Boris Johnson confirmed on 2 October in an interview with BBC Wales https://t.co/jCsREYW7j0 https://t.co/W3OlRGHUes",en,12.0,31.0,"[{'text': 'nuclear', 'indices': [66, 74]}]"
2442,1445239825037250560,2021-10-05 04:10:00+00:00,5,10,2021,World Nuclear News,,"The @iaeaorg is developing a system that will alert the Agency of natural hazards - such as floods, earthquakes, volcanic eruptions and wildfires - that could potentially affect #nuclear sites https://t.co/wNJ61BUtE7 https://t.co/JJV9akLmsj",en,2.0,7.0,"[{'text': 'nuclear', 'indices': [178, 186]}]"
2443,1445237311910776832,2021-10-05 04:00:01+00:00,5,10,2021,World Nuclear News,,"Mexico's state power concern, the Federal Electricity Commission (@CFEmx) will become a vertically integrated state agency under reforms proposed by President Andrés Manuel López Obrador #nuclear https://t.co/NtdarpKhaY https://t.co/2BekpzXX9c",es,1.0,3.0,"[{'text': 'nuclear', 'indices': [187, 195]}]"
2444,1445053805700263936,2021-10-04 15:50:49+00:00,4,10,2021,World Nuclear News,,"The UK government is in discussions regarding proposals for a new #nuclear power plant at Wylfa on Anglesey, British Prime Minister Boris Johnson confirmed on 2 October in an interview with BBC Wales https://t.co/jCsREYW7j0 https://t.co/dZdAXqW5cu",en,13.0,55.0,"[{'text': 'nuclear', 'indices': [66, 74]}]"
2445,1445053371824607232,2021-10-04 15:49:06+00:00,4,10,2021,World Nuclear News,,"The @iaeaorg is developing a system that will alert the Agency of natural hazards - such as floods, earthquakes, volcanic eruptions and wildfires - that could potentially affect #nuclear sites https://t.co/wNJ61BUtE7 https://t.co/XwNlTUeZDe",en,3.0,5.0,"[{'text': 'nuclear', 'indices': [178, 186]}]"
2446,1445051985045118976,2021-10-04 15:43:35+00:00,4,10,2021,World Nuclear News,,"Mexico's state power concern, the Federal Electricity Commission (@CFEmx) will become a vertically integrated state agency under reforms proposed by President Andrés Manuel López Obrador #nuclear https://t.co/Ntdarq1Szy https://t.co/u5b0ikoNgs",es,3.0,8.0,"[{'text': 'nuclear', 'indices': [187, 195]}]"
2447,1444157694605021184,2021-10-02 04:30:00+00:00,2,10,2021,World Nuclear News,,"The Western Australian Department of Mines, Industry Regulation and Safety has approved @Vimy_Resources' Mulga Rock Mining Proposal and associated Mine Closure Plan #uranium #nuclear https://t.co/60qpcsHKMx https://t.co/GvU6KrYe8O",en,9.0,19.0,"[{'text': 'uranium', 'indices': [165, 173]}, {'text': 'nuclear', 'indices': [174, 182]}]"
2448,1444155178068758528,2021-10-02 04:20:00+00:00,2,10,2021,World Nuclear News,,"The UK government has today published a strategy setting out how it will leverage scientific, commercial and international leadership to enable the delivery of fusion energy #nuclear https://t.co/QEdIQry9WT https://t.co/iRIela437I",en,3.0,6.0,"[{'text': 'nuclear', 'indices': [174, 182]}]"
2449,1444152661410992128,2021-10-02 04:10:00+00:00,2,10,2021,World Nuclear News,,"Licensing of the planned Paks II #nuclear power plant has been delayed, the Hungarian Atomic Energy Authority has announced https://t.co/N6h0S1J6L8 https://t.co/VNQ3Xs4pku",en,1.0,8.0,"[{'text': 'nuclear', 'indices': [33, 41]}]"
